sentiment,message,tweetid
1,"RT @NatGeoChannel: Watch #BeforeTheFlood right here, as @LeoDiCaprio travels the world to tackle climate change https://t.co/LkDehj3tNn httÃ¢â‚¬Â¦",793166372079624193
1,"RT @iansomerhalder: IF Millennials do NOT get out and vote we are doomed.This is OUR future.Lets do this.Fixing climate change, womens' rigÃ¢â‚¬Â¦",793167169177649152
0,"RT @explicithooker: me: Leo come over
Leo: i can't im busy
me: my friend said global warming isn't real
Leo: https://t.co/kveRTYlpIi",793167508576604160
0,"@alroker AL. I might be related to wright brothers, and i think I just solved global warming. I sent emails to everyone!",793168139777298432
1,"9 ways global warming is affecting daily life: Lakes disappearing, drinking water supply at risk https://t.co/TPK7Di859X via @EnvDefenseFund",793168556972183552
2,"#weather Mediterranean to become desert unless global warming limited to 1.5Ã‚Â°C, study warns Ã¢â‚¬â€œ Inhabitat https://t.co/xm4Zq3X8kp #forecast",793168958559952896
2,"#weather Mediterranean to become desert unless global warming limited to 1.5Ã‚Â°C, study warns Ã¢â‚¬â€œ Inhabitat https://t.co/DJKmdnWYDa #forecast",793168974510821376
1,"RT @NatGeoChannel: Watch #BeforeTheFlood right here, as @LeoDiCaprio travels the world to tackle climate change https://t.co/LkDehj3tNn httÃ¢â‚¬Â¦",793169076113649664
0,"RT @CatalyticRxn: Term 'global warming' was more controversial, among conservatives than 'climate change'. Liberals didn't care. #sciwri16",793169535264096256
0,Watch Leonardo DiCaprio's climate change documentary free for limited time https://t.co/xCXLUJ3WCC https://t.co/vfpPFL4039,793169754068512771
2,RT @thinkprogress: Will global warming help drive record election turnout? https://t.co/r7M77EAXeC https://t.co/detOUvCCWr,793169883290820608
2,Alberta Tories are losing a big issue they've used to attack Notley's approach to climate change. https://t.co/VFqCYcKmuR,793169987393482753
1,RT @_madisonwalsh_: if you don't believe in global warming come to tallahassee rn,793170553100263425
1,RT @credfernjr: We just entered an alarming 'new era' of global warming https://t.co/WlTaD5O4km via @mashable,793171126775984129
1,RT @retroJACE: global warming real as hell. al gore told us. leo dicaprio keep tryna tell us. its 82 degrees and its halloween. sumn aint rÃ¢â‚¬Â¦,793171794907664384
2,Listen to 58 years of climate change in one minute - PBS NewsHour https://t.co/Y49dKmP01S https://t.co/aPrUrG3tuC,793172113607852037
0,@RonBaalke @Newegg and with climate change we can expect asteroids to become more frequent and powerful,793172178250391552
1,"RT @NatGeoChannel: Watch #BeforeTheFlood right here, as @LeoDiCaprio travels the world to tackle climate change https://t.co/LkDehj3tNn httÃ¢â‚¬Â¦",793173062564872192
1,RT @Jon_Pantaloon: I swear if it's 80 degrees on Christmas again I will personally defeat global warming. Revenge is a dish best-served cold,793174254611070976
1,"RT @NatGeoChannel: Watch #BeforeTheFlood right here, as @LeoDiCaprio travels the world to tackle climate change https://t.co/LkDehj3tNn httÃ¢â‚¬Â¦",793174503790612480
1,"@CertainSm1 IÃ¢â‚¬â„¢m creating a new think tank for climate change, would you join and post your tweet also at https://t.co/u1UbQXLmrF ?",793174766844805120
2,Recent pattern of cloud cover may have masked some global warming https://t.co/S3ahtG8xfC,793175610134855680
2,Satellites help scientists see forests for the trees amid climate change https://t.co/WQVSXAmmOL via @physorg_com,793175693320396800
1,"RT @NatGeoChannel: Watch #BeforeTheFlood right here, as @LeoDiCaprio travels the world to tackle climate change https://t.co/LkDehj3tNn httÃ¢â‚¬Â¦",793175797985148928
1,RT @NewsHour: Listen to 58 years of climate change in one minute https://t.co/3yHZ7omEsT (via @KUOW and @EarthFixMedia),793175991875088384
2,RT @grist: .@LeoDiCaprioÃ¢â‚¬â„¢s new climate change film is now streaming https://t.co/fyeAxAr54C #BeforeTheFlood https://t.co/UYRZXfVWn2,793176939754299393
2,Satellites help scientists see forests for the trees amid climate change - https://t.co/5BO6g7n50p https://t.co/VxlncRmFMf,793177948001939457
1,RT @retroJACE: global warming real as hell. al gore told us. leo dicaprio keep tryna tell us. its 82 degrees and its halloween. sumn aint rÃ¢â‚¬Â¦,793178079581659136
1,"RT @NatGeoChannel: Watch #BeforeTheFlood right here, as @LeoDiCaprio travels the world to tackle climate change https://t.co/LkDehj3tNn httÃ¢â‚¬Â¦",793178337380298756
1,RT @cieriapoland: this halloween gets a lot scarier when you consider that bc of global warming it's 80 degrees in October &amp; we are destroyÃ¢â‚¬Â¦,793178657523109888
1,"RT @GPUSyouth: Exactly, fixing the economy &amp; addressing climate change w/ an emergency #GreenNewDeal IS 'dire,' @MDSienzant. Ã°Å¸Å’Â³@LavenderGreeÃ¢â‚¬Â¦",793178862674776065
1,RT @cieriapoland: this halloween gets a lot scarier when you consider that bc of global warming it's 80 degrees in October &amp; we are destroyÃ¢â‚¬Â¦,793179254922051585
1,RT @smerconish: 'For there not to be a single question on climate change during the debates boggles the mind...' @MichaelEMann on #debate QÃ¢â‚¬Â¦,793179371163029509
1,"Is this who we really want to be? A nation with a leader who promotes bigotry, racism, anti-women, anti-journalism, anti-climate change?",793180225093898240
1,RT @xeni: #Halloween's ok but if you really wanna get scared watch this new @NatGeoÃ¢â‚¬â€¹ climate change doc with @LeoDiCaprio https://t.co/rUFMÃ¢â‚¬Â¦,793180381470154753
1,"RT @NatGeoChannel: Watch #BeforeTheFlood right here, as @LeoDiCaprio travels the world to tackle climate change https://t.co/LkDehj3tNn httÃ¢â‚¬Â¦",793180871243235333
1,"100% agree with @DrJillStein on climate change. The choices in this election look to be 100 steps backwards, 50 steps forward, or zero.",793181583348002817
1,RT @BoingBoing: #Halloween's ok but if you really wanna get scared watch this new @NatGeoÃ¢â‚¬â€¹ climate change doc with @LeoDiCaprio https://t.cÃ¢â‚¬Â¦,793181783785345024
0,75 degrees in StL on last day in October. I am all for this global warming hoax!,793194244034863105
1,Y'all still don't believe in global warming SMH https://t.co/T4Bdp0BSMJ,793194502538268672
1,Everyone must watch #BeforetheFlood. Great documentary produced by @LeoDiCaprio &amp; his team showing effects of climate change. Eye-opening,793194536608595969
-1,"@AngieNBC6 you do understand that climate change is natural, not necessarily caused by humans. It snowed in Miami, and the atlantic froze",793195493568413696
2,Recent pattern of cloud cover may have masked some global warming https://t.co/GmEGtigEhk,793196126363062274
0,"Google is being very odd, we know they manipulate search results, but I woke up to a climate change documentary loaded up on YouTube...(1/2)",793196495944097792
1,RT @GreenPartyUS: The human cost of climate change is too high. We need to get off fossil fuels and on to renewable energy by 2030 if we hoÃ¢â‚¬Â¦,793196617402679296
0,RT @COP22: In 4 days the most ambitious climate change agreement in history enters into force. Have you read #ParisAgreement?Ã¢â‚¬Â¦,793197191443603456
1,RT @JuanH_18: it's the last day of fucking October and it feels like fucking spring smh shout out fucking global warming one time,793197468116668416
0,Niggas asked me what my inspiration was l said global warming.,793197681317412864
1,"RT @NatGeoChannel: Watch #BeforeTheFlood right here, as @LeoDiCaprio travels the world to tackle climate change https://t.co/LkDehj3tNn httÃ¢â‚¬Â¦",793198030895874049
0,"They ask me my inspiration I tell em global warming, too cozy",793198718279258113
2,"RT @s_guilbeault: Canada not ready for climate change, report warns https://t.co/5YWljFkdA3",793199531127078916
1,Probably the scariest thing you'll watch this Halloween. Leonardo Di Caprio's climate change documentary https://t.co/yOYFB5Oi2P,793200112382115840
1,"RT @NatGeoChannel: Watch #BeforeTheFlood right here, as @LeoDiCaprio travels the world to tackle climate change https://t.co/LkDehj3tNn httÃ¢â‚¬Â¦",793200362610012160
1,RT @NatGeoChannel: One of the easiest ways to help combat climate change in your daily life is to stop eating beef. Here's why:Ã¢â‚¬Â¦,793200394591674368
1,RT @cieriapoland: this halloween gets a lot scarier when you consider that bc of global warming it's 80 degrees in October &amp; we are destroyÃ¢â‚¬Â¦,793202383396274176
1,RT @UNHumanRights: Main emitters of greenhouse gas must help vulnerable countries like Madagascar avoid worst effects of climate change httÃ¢â‚¬Â¦,793202953922473984
1,"RT @adamelman: 8 disgusting side effects of climate change
https://t.co/LrwfTzF3XG",793204013034602496
1,RT @NatGeoChannel: One of the easiest ways to help combat climate change in your daily life is to stop eating beef. Here's why:Ã¢â‚¬Â¦,793204092441137152
1,RT @jankivelli: global warming is so real man.,793204322083274752
2,RT @GlobalWarming36: Recent pattern of cloud cover may have masked some global warming - Ars Technica https://t.co/L15R1QEA8J,793204747494825984
1,"RT @NatGeoChannel: Watch #BeforeTheFlood right here, as @LeoDiCaprio travels the world to tackle climate change https://t.co/LkDehj3tNn httÃ¢â‚¬Â¦",793205979487895552
1,RT @SenSanders: The Dakota Access Pipeline would be a huge blow to our fight against climate change. #NoDAPL https://t.co/47m6yUu4m5,793206517629497344
1,"RT @NatGeoChannel: Watch #BeforeTheFlood right here, as @LeoDiCaprio travels the world to tackle climate change https://t.co/LkDehj3tNn httÃ¢â‚¬Â¦",793207429303508993
1,@POTUS watching @LeoDiCaprio docu. Funny you talk up doing something about climate change yet do nothing on #DAPL #NoDAPL #ClimateAction,793208140636364800
2,RT @YEARSofLIVING: Celeb-packed 'Years of Living Dangerously' wants to make climate change a voting issue https://t.co/JLCnrZMtuv viaÃ¢â‚¬Â¦,793208575308988416
1,RT @NatureEcoEvo: Using palaeoecological data increases magnitude of predicted plant species response to climate changeÃ¢â‚¬Â¦,793208622935265281
1,"RT @NatGeoChannel: Watch #BeforeTheFlood right here, as @LeoDiCaprio travels the world to tackle climate change https://t.co/LkDehj3tNn httÃ¢â‚¬Â¦",793208761221459969
0,RT @COP22: In 4 days the most ambitious climate change agreement in history enters into force. Have you readÃ¢â‚¬Â¦Ã¢â‚¬Â¦Ã¢â‚¬Â¦Ã¢â‚¬Â¦Ã¢â‚¬Â¦Ã¢â‚¬Â¦ https://t.co/KqFyyWF8uD,793209818219581440
0,"@highwaystarzo 1 of the benefits of global warming &amp; international terrorism,is that more people are holidaying in England,ill drink to that",793210532618698752
1,"RT @NatGeoChannel: Watch #BeforeTheFlood right here, as @LeoDiCaprio travels the world to tackle climate change https://t.co/LkDehj3tNn httÃ¢â‚¬Â¦",793210653867663360
1,@TL_Wiese @HillaryClinton @realDonaldTrump He's hot headed and vindictive. He's pro use of nukes. He thinks climate change is a hoax.,793210870323109890
1,Thinking wonÃ¢â‚¬â„¢t stop climate change https://t.co/X2UMmx3VZ1,793211010949656576
0,RT @ddale8: Trump again vows to cancel the US contribution to the UN climate change program and spend it on clean water and clean air in AmÃ¢â‚¬Â¦,793211371546611712
1,"RT @PCGTW: If you want to fight climate change, you must fight to #StopTPP says @foe_us ' @wwaren1 https://t.co/F9c78bvNj5 https://t.co/GPZÃ¢â‚¬Â¦",793211494317985792
1,@fisherstevensbk #beforetheflood taught me more about climate change than my entire formal education!! insightful and bold!!,793211788762296320
1,"RT @NatGeoChannel: Watch #BeforeTheFlood right here, as @LeoDiCaprio travels the world to tackle climate change https://t.co/LkDehj3tNn httÃ¢â‚¬Â¦",793211847776333824
1,"Im constantly on the verge of a climate change rampage 
WE ARE KILLING EARTH PEOPLE WAKE UP",793212518965518336
1,RT @UN: 12 #globalgoals are directly linked to climate change. The #ParisAgreement is crucial to achieve them.Ã¢â‚¬Â¦,793213258824032256
0,"@michellemalkin Trump wins election &amp; he is now a catalyst for climate change in Wash. No more cush jobs, they will be accountable,nopension",793214420247805952
1,RT @BitsieTulloch: Happy Ã°Å¸â€™â‚¬Ã°Å¸Å½Æ’Ã°Å¸â€¢Â¸! Want to see something truly scary? @NatGeo &amp; @LeoDiCaprio made a great documentary about global warming: httpÃ¢â‚¬Â¦,793214562908733440
2,"RT @CECHR_UoD: Indian farmers fight against climate change using trees as a weapon
https://t.co/rMz1xbJJ0P #Agroforestry gaining tÃ¢â‚¬Â¦",793214778856595456
1,RT @PeteMadigan: Everyone needs to watch the incredible #BeforetheFlood documentary produced by @LeoDiCaprio on climate changeÃ¢â‚¬Â¦,793215256055181312
2,Cloudy feedback on global warming - https://t.co/fS6IM9qPWD https://t.co/5j7XG3L2Gz #global https://t.co/QYBMGHItzg,793216285073035264
1,"RT @NatGeoChannel: Watch #BeforeTheFlood right here, as @LeoDiCaprio travels the world to tackle climate change https://t.co/LkDehj3tNn httÃ¢â‚¬Â¦",793216449976242177
1,"RT @ABCPolitics: .@realDonaldTrump vows to cancel 'billions' in climate change funds to UN, adds 'I'm an environmentalist' https://t.co/P1HÃ¢â‚¬Â¦",793216460524888064
2,"Canada not ready for climate change, report warns - The Globe and Mail - we have no time https://t.co/24FxzrroQC",793216566263296001
1,"Global Climate Action Agenda at #COP22

Governments alone cannot solve global warming. Climate change affects us... https://t.co/GX7MzMhhfO",793217556702265345
1,The new @NatGeo &amp; @LeoDiCaprio documentary on climate change #BeforeTheFlood is on Youtube. https://t.co/L4T7hhCrN8,793218033011437569
0,"RT @Iad3uxieme: What do you think of global warming?

'If niggas stopped drivin their moms car all day &amp; got jobs, it'd be less smoke in thÃ¢â‚¬Â¦",793218337513668608
2,RT @TimWeisAB: Canada not ready for climate change: University of Waterloo report https://t.co/lHK1y5sWIz,793220359935758336
1,"RT @NatGeoChannel: Watch #BeforeTheFlood right here, as @LeoDiCaprio travels the world to tackle climate change https://t.co/LkDehj3tNn httÃ¢â‚¬Â¦",793220603931140096
1,RT @Seasaver: If everyone who tweets about halloween tweeted about genuinely terrifying things like climate change &amp; overfishingÃ¢â‚¬Â¦,793221088301940736
0,RT @sloat24: Damn I wish global warming was this good when I was a kid so I coulda trick or treated in 70 degree weather,793221791648854016
1,RT @FlakesOnATrain: .@carolinelucas is right to highlight the vital importance of upland peat in climate change. Depressingly she is dismiÃ¢â‚¬Â¦,793222064668831744
0,The worst thing about global warming is it allows people to wear flip-flops in public later on into the year.,793222266242740224
1,"@rbsralaw 270 minutes of debate time, zero questions on climate change or education policy. ISIS! Emails! NAFTA!",793222707894558720
1,RT @NatGeoChannel: One of the easiest ways to help combat climate change in your daily life is to stop eating beef. Here's why:Ã¢â‚¬Â¦,793222898525831168
1,"RT @NatGeoChannel: Watch #BeforeTheFlood right here, as @LeoDiCaprio travels the world to tackle climate change https://t.co/LkDehj3tNn httÃ¢â‚¬Â¦",793223799458193408
1,Company directors to face penalties for ignoring climate change #auspol politicians should too https://t.co/sHkGVfRQUm,793223881913802752
1,RT @andrea_illy: Coffee must adapt to climate change and requires industry wide coordination. https://t.co/RvbFcU3cR8,793224089418756100
1,"RT @NatGeoChannel: Watch #BeforeTheFlood right here, as @LeoDiCaprio travels the world to tackle climate change https://t.co/LkDehj3tNn httÃ¢â‚¬Â¦",793225061394182145
1,"RT @NatGeoChannel: Watch #BeforeTheFlood right here, as @LeoDiCaprio travels the world to tackle climate change https://t.co/LkDehj3tNn httÃ¢â‚¬Â¦",793225484977004544
1,"RT @TimotheusW: Harrowing read about the relentless pursuit of #CSG in #Australia - 'Australia isnÃ¢â‚¬â„¢t Ã¢â‚¬Å“tacklingÃ¢â‚¬ï† climate change, weÃ¢â‚¬Â¦",793225548579213313
1,If global warming continues at the current pace it will change the Mediterranean regi ... #Tattoos #Funny #DIY https://t.co/w2MCVii09L,793225835071180800
1,RT @PASmsu2: Lake response to climate change: water clarity may be as imp as air temp. New in L&amp;O Letters @aslo_org @kevcroseÃ¢â‚¬Â¦,793226061068787713
1,RT @World_Wildlife: Saving forests is crucial to fighting climate change. WWF's Josefina BraÃƒÂ±a-Varela blogs for #BeforetheFlood: https://t.Ã¢â‚¬Â¦,793226225196163072
1,@realDonaldTrump for president... now he just needs to realize the reality of climate change amongst a few other things #ivoted,793226599202185216
1,"RT @NatGeoChannel: Watch #BeforeTheFlood right here, as @LeoDiCaprio travels the world to tackle climate change https://t.co/LkDehj3tNn httÃ¢â‚¬Â¦",793227158436982784
